iter	Logloss
0	0.65297414
1	0.6226476267
2	0.5904304234
3	0.5636999048
4	0.5412880834
5	0.5231364839
6	0.4954807187
7	0.4795662216
8	0.4651873227
9	0.4513295025
10	0.4373429725
11	0.4248564434
12	0.4157090493
13	0.4082300829
14	0.3995880887
15	0.3944660952
16	0.3883766984
17	0.3834400902
18	0.37701592
19	0.3701080682
20	0.3661909791
21	0.3613220455
22	0.358051305
23	0.3545974591
24	0.3528584772
25	0.3500417007
26	0.3461294912
27	0.3431061311
28	0.3414407033
29	0.3401539654
30	0.3379379012
31	0.3362718735
32	0.3339661764
33	0.3319511164
34	0.330254591
35	0.3285393271
36	0.3273246035
37	0.3263435214
38	0.3230584821
39	0.3216380348
40	0.3204679677
41	0.3195994366
42	0.3184356689
43	0.3171515509
44	0.3163107376
45	0.315284779
46	0.314780179
47	0.3135517965
48	0.3127409009
49	0.311454643
50	0.3100442949
51	0.3093409307
52	0.308429403
53	0.3074661995
54	0.3066993003
55	0.3059243618
56	0.3051981795
57	0.3043006507
58	0.3030444704
59	0.3018460855
60	0.300894861
61	0.3001614992
62	0.2995454481
63	0.298450295
64	0.2974034981
65	0.2959037171
66	0.295375579
67	0.2949955292
68	0.2944977487
69	0.2934154945
70	0.2926009792
71	0.2916307762
72	0.2910929389
73	0.2903561573
74	0.2893072006
75	0.2883912733
76	0.2876414928
77	0.2870166624
78	0.2864745054
79	0.2861350523
80	0.285484144
81	0.2852810001
82	0.2841067333
83	0.2830480173
84	0.2826774467
85	0.282434866
86	0.2820269383
87	0.2810313773
88	0.2807241017
89	0.2800343165
90	0.2794872999
91	0.2787472786
92	0.2777765956
93	0.2773200719
94	0.276726779
95	0.2761811223
96	0.2757507164
97	0.2753220704
98	0.2748381888
99	0.2745927883
100	0.2739373403
101	0.2735587304
102	0.2732477351
103	0.2726155652
104	0.271837727
105	0.271610245
106	0.2712903104
107	0.2708523852
108	0.2705966854
109	0.2699321382
110	0.2695898453
111	0.2692194747
112	0.2689974324
113	0.2684366969
114	0.2678595827
115	0.2670084502
116	0.2668279645
117	0.2663655812
118	0.2661733965
119	0.2657146329
120	0.2645724035
121	0.2638684594
122	0.2634784903
123	0.2630074277
124	0.262273306
125	0.2621199582
126	0.2616317969
127	0.2614518912
128	0.2608822764
129	0.2604614298
130	0.259513485
131	0.2587690041
132	0.2583820148
133	0.2580415418
134	0.2575456812
135	0.2569540281
136	0.2565088835
137	0.2558399165
138	0.2554671661
139	0.255191008
140	0.2548560146
141	0.2546034547
142	0.2538149372
143	0.2532557416
144	0.2526116327
145	0.2521506893
146	0.2508670912
147	0.2503889891
148	0.2500137589
149	0.2496638467
150	0.24937033
151	0.2489499233
152	0.2482869759
153	0.2479631816
154	0.2474091456
155	0.2472018421
156	0.2463702081
157	0.2457987134
158	0.2456675038
159	0.2451265868
160	0.2445791302
161	0.2440830896
162	0.2435752699
163	0.2433506077
164	0.2429200219
165	0.2425764091
166	0.2422201374
167	0.2418272486
168	0.2413924231
169	0.2410268921
170	0.240990955
171	0.2400532094
172	0.2395942258
173	0.2391369821
174	0.2384709749
175	0.2377003961
176	0.2372875689
177	0.2370191102
178	0.2365992635
179	0.2359051186
180	0.2354627337
181	0.2353167253
182	0.2350311279
183	0.2344011179
184	0.2341899347
185	0.2338494817
186	0.2332605284
187	0.2327902458
188	0.23235918
189	0.2320776423
190	0.2313611592
191	0.2307072111
192	0.230330201
193	0.2297371281
194	0.2294069543
195	0.2288973347
196	0.228099258
197	0.2276433742
198	0.2270133442
199	0.2266207754
200	0.2263302784
201	0.2254849255
202	0.2248771338
203	0.2245477399
204	0.2240634983
205	0.2236022349
206	0.2232929395
207	0.2231743289
208	0.2227407433
209	0.2222823997
210	0.221787179
211	0.2211926262
212	0.2210402582
213	0.2206756472
214	0.2201469491
215	0.2192470406
216	0.2191485684
217	0.2188492721
218	0.2182555792
219	0.2175390161
220	0.2172710774
221	0.2168698692
222	0.2166242487
223	0.2163076738
224	0.2158543898
225	0.2155445344
226	0.214957781
227	0.2139414216
228	0.2132517563
229	0.2126836214
230	0.2121355249
231	0.211466898
232	0.2106288845
233	0.2101114856
234	0.2095924667
235	0.2089883347
236	0.2087124166
237	0.2082939498
238	0.2080865263
239	0.2077712513
240	0.2073768626
241	0.2067433728
242	0.2062687905
243	0.20589686
244	0.2055140304
245	0.2050980034
246	0.2045903237
247	0.2042539904
248	0.2038253244
249	0.2034187367
250	0.2031679966
251	0.2029540536
252	0.2027496698
253	0.2024678921
254	0.2020501453
255	0.2014733311
256	0.2010546643
257	0.2007851057
258	0.2003515001
259	0.200037225
260	0.1997829252
261	0.199545904
262	0.1991845927
263	0.1987436277
264	0.1983329203
265	0.1978662373
266	0.1972990223
267	0.1969348513
268	0.1964673883
269	0.1958350985
270	0.1954798267
271	0.1949291704
272	0.1945744786
273	0.194367095
274	0.1940889571
275	0.1940126032
276	0.1934710661
277	0.1931553912
278	0.1931241737
279	0.1926080346
280	0.192338276
281	0.1920966752
282	0.1917796804
283	0.1915153813
284	0.1911858075
285	0.1908787519
286	0.1904012898
287	0.1902442222
288	0.1898324949
289	0.1893496932
290	0.1888386338
291	0.1884011285
292	0.1878550118
293	0.1875338773
294	0.1874389448
295	0.1873307334
296	0.1868308931
297	0.1865953318
298	0.1864346445
299	0.1861501671
